Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"93,67 %","120,08","86,14 %",-,-,-,-,-,-,-,-,"0,58 %",-,"98,55 %",8,40
jegallardoga,apajaromerla,"110,17 %","173,72","88,4 %",-,-,-,-,-,-,-,-,"1,59 %",-,"97,26 %",4,38
jegallardoga,bmatoscastro,"113,37 %","140,37","89,23 %",-,-,-,-,-,-,-,-,"1,23 %",0 %,"92,87 %",6,40
jegallardoga,cpintoarruza,"88,78 %","116,13","81,93 %",-,-,-,-,-,-,-,-,"0,77 %",-,"97,27 %",7,30
jegallardoga,crojashidalg,"123,5 %","91,17","85,14 %",-,-,-,-,-,-,-,-,0 %,-,"62,6 %",58,32
jegallardoga,dgonzalezmol,"123,34 %","77,42","84,16 %",-,-,-,-,-,-,-,-,0 %,-,"84,61 %",-,36
jegallardoga,ext_algalarc,"105,02 %","131,92","87,18 %",-,-,-,-,-,-,-,-,"0,82 %",-,"100,13 %",6,16
jegallardoga,ext_arieandr,"99,59 %","131,74","83,27 %",-,-,-,-,-,-,-,-,"0,86 %",-,"100,79 %",4,18
jegallardoga,ext_beangulo,"130,96 %","187,36","87,54 %",-,-,-,-,-,-,-,-,"0,46 %",-,"94,41 %",6,10
jegallardoga,ext_conarave,"100,15 %","131,97","82,26 %",-,-,-,-,-,-,-,-,"0,55 %",-,-,-,-
jegallardoga,ext_crmtorre,"94,4 %","126,45","82,57 %",-,-,-,-,-,-,-,-,"0,36 %",-,"95,56 %",6,35
jegallardoga,ext_fujavier,"116,41 %","176,72","88,28 %",-,-,-,-,-,-,-,-,"1,02 %",-,"98,79 %",4,13
jegallardoga,ext_hugvasqu,"115,79 %","179,15","90,28 %",-,-,-,-,-,-,-,-,"2,06 %",-,"99,43 %",4,13
jegallardoga,ext_jearriaz,"106,78 %","140,13","84,39 %",-,-,-,-,-,-,-,-,"0,31 %",-,"98,12 %",7,11
jegallardoga,ext_lucazamo,"92,63 %","121,47","83,41 %",-,-,-,-,-,-,-,-,"0,24 %",-,-,-,-
jegallardoga,ext_macasos,"123,57 %","168,59","85,81 %",-,-,-,-,-,-,-,-,"0,74 %",-,"88,57 %",4,10
jegallardoga,ext_nanyespi,"111,58 %","181,65","84,51 %",-,-,-,-,-,-,-,-,"3,86 %",-,"47,85 %",5,-
jegallardoga,ext_osgandar,"108,28 %","173,66","82,51 %",-,-,-,-,-,-,-,-,"3,09 %",-,"91,34 %",6,39
jegallardoga,ext_sagalaz,"81,5 %","122,79","71,85 %",-,-,-,-,-,-,-,-,"0,83 %",0 %,"99,84 %",6,30
jegallardoga,ext_scannais,"106,89 %","172,72","86,86 %",-,-,-,-,-,-,-,-,"1,23 %",-,"95,06 %",6,40
jegallardoga,ext_seaspe,"143,39 %","201,23","77,01 %",-,-,-,-,-,-,-,-,"0,52 %",-,"100,38 %",6,-
jegallardoga,ext_toralfre,"112,75 %","150,11","81,16 %",-,-,-,-,-,-,-,-,"1,78 %",-,"103,41 %",7,9
jegallardoga,fmartinmanci,"86,26 %","111,42","84,19 %",-,-,-,-,-,-,-,-,"0,13 %",-,"95,33 %",5,36
jegallardoga,fsepulvedami,"104,87 %","143,8","81,81 %",-,-,-,-,-,-,-,-,"0,35 %",-,"77,96 %",-,15
jegallardoga,halvarezaran,"100,25 %","131,89","82,02 %",-,-,-,-,-,-,-,-,"0,93 %",-,"94,74 %",6,39
jegallardoga,jniriancurih,"109,65 %","175,83","82,73 %",-,-,-,-,-,-,-,-,"2,89 %",-,"63,72 %",5,-
jegallardoga,kcollaolazza,"120,49 %","170,02","85,61 %",-,-,-,-,-,-,-,-,"0,25 %",-,"96,64 %",5,38
jegallardoga,mlouisor,"118,74 %","91,95","83,37 %",-,-,-,-,-,-,-,-,0 %,-,"60,29 %",10,45
jegallardoga,ngabelocamil,"91,86 %","124,69","79,41 %",-,-,-,-,-,-,-,-,"1,29 %",0 %,"93,36 %",7,41
jegallardoga,pgalvez,"93,82 %","125,81","83,16 %",-,-,-,-,-,-,-,-,"0,23 %",-,0 %,-,-
jegallardoga,robarra,"115,04 %","98,57","89,67 %",-,-,-,-,-,-,-,-,0 %,-,"79,03 %",8,27
jegallardoga,rtorosanhuez,"97,19 %","133,28","80,92 %",-,-,-,-,-,-,-,-,"0,17 %",-,"69,93 %",6,39
jegallardoga,vhinostrozaz,"160,09 %","210,98","90,01 %",-,-,-,-,-,-,-,-,"1,01 %",-,"80,48 %",6,34
jegallardoga,vortegonbern,"157,92 %","105,96","91,84 %",-,-,-,-,-,-,-,-,0 %,-,"57,93 %",58,38
jegallardoga,yrojasfuente,"100,75 %","127,25","77,99 %",-,-,-,-,-,-,-,-,"0,28 %",-,"85,72 %",6,37
